query_id	corpus_id	score
5ac113e2554299294b21909a	311164	1
5ac113e2554299294b21909a	2466925	1
5abed6905542990832d3a0ed	17116117	1
5abed6905542990832d3a0ed	6831066	1
5ac09da45542996f0d89cc1d	23676585	1
5ac09da45542996f0d89cc1d	7753865	1
5a7b5af7554299042af8f752	2594411	1
5a7b5af7554299042af8f752	1284316	1
5a7131565542994082a3e64f	29198203	1
5a7131565542994082a3e64f	3634471	1
5a7f95685542995d8a8ddeaa	5843335	1
5a7f95685542995d8a8ddeaa	81565	1
5ae07e5b55429945ae959381	2335206	1
5ae07e5b55429945ae959381	6160236	1
5a77c60255429967ab105285	29632669	1
5a77c60255429967ab105285	439470	1
5ae54bbd5542990ba0bbb262	3489316	1
5ae54bbd5542990ba0bbb262	427655	1
5ac471a5554299194317399a	22148899	1
5ac471a5554299194317399a	323169	1
5abfd3ba5542994516f4550a	7599613	1
5abfd3ba5542994516f4550a	3956606	1
5ab934465542996be202043e	9380145	1
5ab934465542996be202043e	12012122	1
5adf36c55542993344016c3e	35962124	1
5adf36c55542993344016c3e	16555113	1
5ae527945542993aec5ec167	33148192	1
5ae527945542993aec5ec167	42007406	1
5a7324205542994cef4bc478	16433	1
5a7324205542994cef4bc478	2242569	1
5ab1c2bf5542997061209558	30553103	1
5ab1c2bf5542997061209558	5705767	1
5ae12fcf5542990adbacf72c	10556722	1
5ae12fcf5542990adbacf72c	14369179	1
5a8790785542993e715abfac	3448288	1
5a8790785542993e715abfac	177712	1
5a8081975542992097ad2fef	17719358	1
5a8081975542992097ad2fef	4963485	1
5ab3e4ee554299233954ffe1	48568045	1
5ab3e4ee554299233954ffe1	313807	1
5abc7bf5554299114383a129	20789075	1
5abc7bf5554299114383a129	6841994	1
5ab8111c5542991d3222382b	50239447	1
5ab8111c5542991d3222382b	22413	1
5ab57022554299637185c59e	14573	1
5ab57022554299637185c59e	276003	1
5a7a70b355429941d65f2647	75758	1
5a7a70b355429941d65f2647	5532554	1
5a828c8355429966c78a6a50	7586794	1
5a828c8355429966c78a6a50	767631	1
5ae5fd395542996de7b71ab3	26427403	1
5ae5fd395542996de7b71ab3	26218034	1
5ac3908e554299741d48a297	32622020	1
5ac3908e554299741d48a297	5451380	1
5a7286865542991f9a20c4cb	31352580	1
5a7286865542991f9a20c4cb	350908	1
5a7bae20554299294a54aa96	34445585	1
5a7bae20554299294a54aa96	22570683	1
5a7130365542994082a3e645	46590077	1
5a7130365542994082a3e645	30809261	1
5a7d26bd554299452d57bb28	1486992	1
5a7d26bd554299452d57bb28	288178	1
5ab82d095542990e739ec853	8540471	1
5ab82d095542990e739ec853	409521	1
5a8fab8c5542995b4424208a	1952471	1
5a8fab8c5542995b4424208a	185614	1
5a821c95554299676cceb219	16174388	1
5a821c95554299676cceb219	1019716	1
5ae6371155429929b0807af1	16856054	1
5ae6371155429929b0807af1	43397	1
5a79131a554299148911f9e3	50895628	1
5a79131a554299148911f9e3	21676765	1
5ab480715542991751b4d798	7677145	1
5ab480715542991751b4d798	28902466	1
5ac3a7f75542993915413890	18618476	1
5ac3a7f75542993915413890	16219	1
5a7f89c75542994857a76775	35326250	1
5a7f89c75542994857a76775	8302	1
5ae4f6c755429960a22e022a	4374557	1
5ae4f6c755429960a22e022a	127313	1
5ae60ea9554299546bf8304e	13207494	1
5ae60ea9554299546bf8304e	32817449	1
5add11935542994734353827	1615998	1
5add11935542994734353827	3728007	1
5add564a5542990dbb2f7e38	42576816	1
5add564a5542990dbb2f7e38	721273	1
5ae17a9b5542990adbacf7a2	479767	1
5ae17a9b5542990adbacf7a2	3565012	1
5a79db655542994bb94570f4	13112509	1
5a79db655542994bb94570f4	901243	1
5ae74fc45542997b22f6a6b4	53756296	1
5ae74fc45542997b22f6a6b4	208825	1
5ade27e05542997c77aded7d	54896453	1
5ade27e05542997c77aded7d	48269271	1
5ae1f3df554299234fd04364	9878683	1
5ae1f3df554299234fd04364	16245	1
5a7b695f5542997c3ec97156	3540994	1
5a7b695f5542997c3ec97156	25916521	1
5ab42a2b5542996a3a969f5a	34069632	1
5ab42a2b5542996a3a969f5a	70578	1
5a8ac38855429970aeb70300	47742067	1
5a8ac38855429970aeb70300	218110	1
5ae1d4e8554299234fd04312	34383981	1
5ae1d4e8554299234fd04312	379800	1
5a8637415542994775f60724	4810701	1
5a8637415542994775f60724	2348737	1
5ab45a0b5542991779162c7e	4444211	1
5ab45a0b5542991779162c7e	4228670	1
5ab488bc5542990594ba9c55	40015934	1
5ab488bc5542990594ba9c55	32016370	1
5ab2d61155429916697740ff	38068868	1
5ab2d61155429916697740ff	42620	1
5ab7c1a955429928e1fe38c8	48517595	1
5ab7c1a955429928e1fe38c8	41475901	1
5abec2ca5542997719eab5b9	3210134	1
5abec2ca5542997719eab5b9	899336	1
5add97c15542997545bbbd80	2151676	1
5add97c15542997545bbbd80	980836	1
5ab3eeb5554299233954fff4	33214212	1
5ab3eeb5554299233954fff4	712686	1
5a721a7655429971e9dc9271	43108218	1
5a721a7655429971e9dc9271	1641473	1
5ae80d25554299540e5a5709	41171422	1
5ae80d25554299540e5a5709	1428132	1
5a762a645542992d0ec0603d	2145671	1
5a762a645542992d0ec0603d	42257	1
5ab29c24554299449642c932	12958	1
5ab29c24554299449642c932	356938	1
5abda2b755429933744ab80f	13487	1
5abda2b755429933744ab80f	4764461	1
5a84c0765542991dd0999dd9	7333486	1
5a84c0765542991dd0999dd9	855742	1
5a88a42f554299206df2b317	325938	1
5a88a42f554299206df2b317	301319	1
5aba67c255429955dce3ee10	33733292	1
5aba67c255429955dce3ee10	3785255	1
5ae32ce75542992f92d8223d	13001672	1
5ae32ce75542992f92d8223d	1533247	1
5abd83775542993062266cb7	1705162	1
5abd83775542993062266cb7	8487997	1
5a8ff69655429916514e73f1	22556266	1
5a8ff69655429916514e73f1	938841	1
5adfa92d55429942ec259ae0	855707	1
5adfa92d55429942ec259ae0	238739	1
5a838fcd5542992ef85e2305	47155716	1
5a838fcd5542992ef85e2305	735009	1
5a8ad8ed5542992d82986fa3	29218068	1
5a8ad8ed5542992d82986fa3	126088	1
5ab973b35542996be20204fd	26687958	1
5ab973b35542996be20204fd	53355	1
5ab82e195542992aa3b8c8a8	38904907	1
5ab82e195542992aa3b8c8a8	28848171	1
5adc91865542994ed6169b93	8235910	1
5adc91865542994ed6169b93	5306793	1
5a8f541e5542992414482a53	6923163	1
5a8f541e5542992414482a53	36715956	1
5ade61fd554299728e26c704	31603905	1
5ade61fd554299728e26c704	7966	1
5adfb10855429942ec259af9	5017429	1
5adfb10855429942ec259af9	23784230	1
5a74b55455429974ef308c39	12470581	1
5a74b55455429974ef308c39	6871680	1
5aba18ee5542994dbf0198b4	53736048	1
5aba18ee5542994dbf0198b4	26433293	1
5ae3a1aa5542994393b9e72d	2416701	1
5ae3a1aa5542994393b9e72d	84636	1
5a84a5dc5542992a431d1a82	50759390	1
5a84a5dc5542992a431d1a82	37516837	1
5ac3d10b5542993915413952	191314	1
5ac3d10b5542993915413952	363776	1
5a81736255429903bc27b96e	14348394	1
5a81736255429903bc27b96e	124609	1
5a7d2b2b5542995ed0d1661b	3300267	1
5a7d2b2b5542995ed0d1661b	179238	1
5a7662745542992db9473786	40631359	1
5a7662745542992db9473786	589924	1
5a88d7fc5542993b751ca879	30319609	1
5a88d7fc5542993b751ca879	3213059	1
5ab92f1f554299753720f77b	11383664	1
5ab92f1f554299753720f77b	12764987	1
5ae3789b5542992e3233c412	6152104	1
5ae3789b5542992e3233c412	66083	1
5a78c7db55429974737f7882	47294126	1
5a78c7db55429974737f7882	443556	1
5ab639e65542995eadeeff7f	2454238	1
5ab639e65542995eadeeff7f	44569	1
5a72ba165542992359bc318a	4851139	1
