id,question_vi,question_en,answer_en,answer_vi_current,answer_vi_corrected,notes
5ab28156554299449642c8ce,??i bóng ?ã ch?i các tr?n ??u sân nhà t?i Holman Stadium thu?c gi?i ??u nào?,What league did was the team that played home games at Holman Stadium belong to?,Canadian-American Association of Professional Baseball,Hi?p h?i bóng chày chuyên nghi?p Canada-America,Hi?p h?i Bóng chày Canada-M?,wording_aligned_with_context
5ae35b035542992e3233c3ae,William Bromley-Davenport gi? ch?c v? chính tr? d??i th?i th? t??ng thu?c ??ng nào?,William Bromley-Davenport held political office under the Prime Minister who was of which party?,Conservative,T? b?o th?,B?o th?,translation_error
5ae0b2f25542993d6555ec1c,Nhà hàng chu?i c?a m?t trong nh?ng ??i t??ng nghiên c?u c?a Daniel Greene chuyên v? món ?n gì?,What food does one of Daniel Greene's subjects' restaurant chain specialize in?,hamburgers,bánh mì,bánh hamburger,translation_error
5ae537a855429960a22e0266,"""Let's Get Ready to Rhumble"" là m?t bài hát n?m 1994 c?a b? ?ôi nh?c s? t? n?i nào?","""Let's Get Ready to Rhumble"" is a 1994 song by a music duo from where?","Newcastle upon Tyne, England","Newcastle upon Tyne, Anh",,ok
5ae60d36554299546bf8303e,Khi nào tay ?ua ng??i B? Stoffel Vandoorne ?ã th?ng gi?i Monaco GP2 Series?,When did Belgium racer Stoffel Vandoorne win the Monaco GP2 Series round?,22 and 23 May 2015,22 và 23 tháng 5 n?m 2015,,ok
5ab7ece25542995dae37e9f3,4 b? ph?n nào t?o nên công ty c?a ng??i giàu nh?t ? Georgia?,What 4 divisions make up the company of the wealthiest person in Georgia?,"newspapers, television, radio, cable television","báo chí, truy?n hình, ?ài phát thanh, truy?n hình cáp",,ok
5ae1599155429901ffe4ae7b,Willi Forst và Brian Robbins ??u là ng??i gì?,Willi Forst and Brian Robbins are both what?,"actor, screenwriter, film director, film producer","di?n viên, biên k?ch, ??o di?n phim, nhà s?n xu?t phim",,source_qa_issue
5ab8f3235542991b5579f084,T?ng th?ng th? bao nhiêu mà Annie Caputo ???c ?? c? vào ?y ban ?i?u ti?t H?t nhân?,What number president was Annie Caputo nominated by to become a member of the Nuclear Regulatory Commission?,45th,45th,th? 45,wording_correction
5a7a10755542996a35c170b1,Loài th?c v?t chính c?n lo?i phân bón ki?u ericaceous có th? tác ??ng ??n môi tr??ng xung quanh nh? th? nào do cách th?c h?p th? cation c?a nó?,The most principle species of plants which requires an ericaceous type of compost can have what effect on its surroundings because of the way it takes up cations?,Peat moss can also acidify its surroundings by taking up cations,Ch?t xám c?ng có th? làm cho môi tr??ng xung quanh c?a nó b? axit b?ng cách h?p th? các cation,Rêu than bùn c?ng có th? làm axit hóa môi tr??ng xung quanh b?ng cách h?p th? các cation,translation_error
5ae32ce75542992f92d8223d,Tháng nào m?t trang web dành cho ng??i l?n tr?c tuy?n mà t?p chí in cu?i cùng ???c xu?t b?n vào mùa hè n?m 2007 ?ã công nh?n Nikita Gross?,What month did the an online adult website whose last print magazine was published in the summer of 2007 recognize Nikita Gross?,January,Tháng 1,,ok
5a84c89a5542992a431d1a9c,Tên g?i khác c?a m?t khu r?ng có làng Oakenclough ? rìa là gì?,What is another name for a forest which has the hamlet of Oakenclough on the edge of it?,"""Switzerland of England""","""Sui Ti?ng Anh""",“Th?y S? c?a n??c Anh”,translation_error
5a82ffef55429954d2e2ebf2,Maine có bao nhiêu ??i di?n t?i H? vi?n Hoa K??,How many United States House of Representatives does Maine's congressional districts have?,2,2,,ok
5adc985e5542990d50227cb7,H?c sinh v??t qua k? thi mà Le rêve de Rico ph?i v??t qua s? ti?n lên l?p nào?,Where will the student which pass the exam  for which Le Rêve de Rico has to pass progress to? ,secondary school study,h?c trung h?c,,ok
5a7f8b8c5542995d8a8ddea1,"Tên g?i ""snake eyes"" ???c dùng trong trò ch?i sòng b?c ??c bi?t s? d?ng nh?ng quân c? nào?",The term snake eyes is used in a particular casino game that uses what game pieces?,a pair of dice,m?t c?p xúc x?c,,ok
5ae1e1e55542997f29b3c15e,"Lenroy Thomas là ???ng kim vô ??ch h?ng n?ng Kh?i Th?nh V??ng Chung sau khi ?? b?i m?t võ s? quy?n anh chuyên nghi?p ng??i Anh v?i thành tích 12 tr?n th?ng, 3 tr?n thua và bao nhiêu tr?n hòa?","Lenroy Thomas is the current commonwealth heavyweight champion after beating a British , professional boxer who has a record of 12 wins, 3 defeats, and how many draws?",1,1,,ok
