id,category,question_vi,question_en,answer_en,answer_vi_current,best_support_vi,gold_context_vi,answer_vi_corrected,notes
5a73d33e5542992d56e7e3a9,A_likely_ok,Tội phạm nào sẽ bị trừng phạt bằng hình thức án tù mà bà Le Corbeau đã nhận được ở Canada?,What is a crime that is punishable by the type of sentence that Madame Le Corbeau received in Canada?,capital crimes or capital offences,tội phạm tử hình hoặc tội phạm tử hình,"Tử hình, còn được gọi là án tử hình, là một hành vi do chính quyền phê chuẩn mà theo đó một cá nhân bị nhà nước xử tử vì phạm tội.","Bà Corbeau
Marguerite Pitre (5 tháng 9 năm 1908 – 9 tháng 1 năm 1953), sinh ra với tên Marguerite Ruest, còn được biết đến với tên gọi Marguerite Ruest-Pitre, là một người âm mưu trong vụ giết người hàng loạt do đánh bom một chiếc máy bay. Là phụ nữ thứ mười ba và cuối cùng bị treo cổ ở Canada, bà đã bị hành quyết vào ngày 9 tháng giêng năm 1953 tại Montreal, Quebec.
Tử hình
Tử hình, còn được gọi là án tử hình, là một hành vi do chính quyền phê chuẩn mà theo đó một cá nhân bị nhà nước xử tử vì phạm tội. Câu kết án người nào chịu sự trừng phạt như vậy được gọi là bản án tử hình và việc thực hiện bản án này được gọi là hành quyết. Những tội đáng phải chịu hình phạt tối đa (tử hình) được biết đến với tên gọi các trọng tội hoặc trọng phạm và thường bao gồm những vụ giết người, phản quốc, gián điệp, tội ác chiến tranh, tội ác chống lại nhân loại và diệt chủng. Về mặt từ nguyên học thì thuật ngữ ""tối đa"" (nguyên nghĩa: ""của chủ"", bắt nguồn từ tiếng Latin ""capitalis"" dẫn ra từ ""caput"", nghĩa là đầu"") ám chỉ việc hành quyết bằng cách chặt đầu.",,
5a7324205542994cef4bc478,A_likely_ok,"Ai là một nhà thơ, Rumi hay Farouk El-Baz?","Who is a poet, Rumi or Farouk El-Baz?","Rumi (30 September 1207 – 17 December 1273), was a 13th-century Persian Sunni Muslim poet","Rumi (30 tháng 9 năm 1207  17 tháng 12 năm 1273), là một nhà thơ Hồi giáo Sunni Ba Tư thế kỷ 13","Jalāl ad-Dīn Muhammad Rūmī (Persian: جلال‌الدین محمد رومی‎ ‎ ), còn được biết đến với tên gọi Jalāl ad-Dīn Muhammad Balkhī (جلال‌الدین محمد بلخى ), Mevlânâ/Mawlānā (مولانا , ""chú của chúng ta""), Mevlevî/Mawlawī (مولوی , ""thầy của tôi"") và phổ biến hơn là Rumi, là một nhà thơ, học giả Hồi giáo người Ba Tư theo trường phái Sunni vào thế kỷ 13.","Rumi
Jalāl ad-Dīn Muhammad Rūmī (Persian: جلال‌الدین محمد رومی‎ ‎ ), còn được biết đến với tên gọi Jalāl ad-Dīn Muhammad Balkhī (جلال‌الدین محمد بلخى ), Mevlânâ/Mawlānā (مولانا , ""chú của chúng ta""), Mevlevî/Mawlawī (مولوی , ""thầy của tôi"") và phổ biến hơn là Rumi, là một nhà thơ, học giả Hồi giáo người Ba Tư theo trường phái Sunni vào thế kỷ 13. Ông cũng là một nhà tư pháp Hồi giáo, thần học gia và đạo sư Sufi huyền bí. Ảnh hưởng của ông vượt qua những biên giới quốc gia và sắc tộc: người Iran, người Tajikistan, người Thổ Nhĩ Kỳ, Hy Lạp, Pashtun cùng các dân tộc Trung Á khác lẫn toàn bộ cộng đồng Hồi giáo Nam Á đã đánh giá cao di sản tâm linh mà ông để lại trong suốt bảy thế kỷ qua. Những bài thơ của ông đã được dịch sang nhiều ngôn ngữ trên thế giới và chuyển thể thành nhiều định dạng khác nhau. Rumi từng được miêu tả là ""nhà thơ nổi tiếng nhất"" hay ""nhà thơ bán chạy nhất"" tại Hoa Kỳ
Farouk El-Baz
Farouk El-Baz (tiếng Ả Rập: فاروق الباز‎ ‎, tiếng Ai Cập: ) (sinh ngày 2 tháng 1 năm 1938) là một nhà khoa học không gian người Mỹ gốc Ai Cập đã làm việc cùng NASA trong việc lên kế hoạch cho các chuyến thám hiểm khoa học của tàu Apollo lên mặt trăng bao gồm cả lựa chọn địa điểm hạ cánh và huấn luyện phi hành gia quan sát và chụp ảnh trên mặt trăng.",,
5a7bcbc8554299294a54aae2,A_likely_ok,"Trường nào được đặt tên theo một cá nhân, Sir Syed University of Engineering and Technology hay Manhattan College?","Which school is named after a person, Sir Syed University of Engineering and Technology or Manhattan College? ",Sir Syed University of Engineering and Technology,Sir Syed University of Engineering and Technology,Đại học Kỹ thuật Sir Syed,"Đại học Kỹ thuật Sir Syed
Đại học Kỹ thuật và Công nghệ Sir Syed (được biết đến với tên gọi ""SSUET"") là một trường đại học nghiên cứu tư nhân nằm ở khu vực đô thị của Karachi, Sindh, Pakistan. Trường được đặt tên để vinh danh nhà cải cách và triết gia Hồi giáo nổi tiếng thế kỷ 19, Sir Syed Ahmad Khan.
Đại học Manhattan
Đại học Manhattan là một đại học tư thục, độc lập, Công giáo La Mã và nghệ thuật tự do nằm ở quận Bronx, Thành phố New York. Sau khi được thành lập vào năm 1853 bởi các anh em nhà trường Cơ đốc (anh em La Salle) như một học viện cho sinh viên đi học ban ngày, Đại học Manhattan đã chính thức được hợp nhất như một tổ chức giáo dục đại học thông qua bản hiến chương được cấp bởi Hội đồng Giám sát của bang New York. Năm 1922, trường Cao đẳng chuyển từ khu vực Manhattan đến khu Riverdale của quận Bronx cách vị trí ban đầu trên đường số 131 khoảng sáu dặm về phía Bắc trong khu vực Manhattanville thuộc quận Manhatttan. Trường Cao đẳng Manhattan cung cấp các chương trình cử nhân trong lĩnh vực nghệ thuật, kinh doanh thương mại , giáo dục , y tế , kỹ thuật và khoa học . Các chương trình sau đại học dành cho giáo dục thương mại và kỹ thuật cũng có sẵn tại đây. Tạp chí U.S News & World Report liệt kê Đại học Manchester là một trong hai mươi trường cao đẳng hàng đầu trong danh mục ""Các trường đại học vùng miền bắc"". Ngoài ra, Manchester còn đứng thứ hạng tốt nghiệp hàng năm ở mức độ tốt nghiệp trung bình cao nhất theo khảo sát trả lời điều tra từng người tham gia cuộc khảo sát từ PayScale.com . Trong cuộc khảo sát trả lại khoản đầu tư tại các trường Đại Học năm 2014-2015 của PayScale.com., Manchester xếp hạng thứ 15 trên toàn quốc",,
5ac471305542991943173998,A_likely_ok,Vai trò chính của vị trí mà Viktor Raychev đang đảm nhận tại Lokomotiv Sofia là gì?,What is the primary role of the position played by Viktor Raychev for Lokomotiv Sofia?,prevent the opposing team from scoring goals,ngăn cản đội đối thủ ghi bàn,"Trong môn bóng đá, hậu vệ là một cầu thủ ngoại biên mà vai trò chính là ngăn cản đội đối phương ghi bàn.","Viktor Raychev
Viktor Raychev (; sinh ngày 26 tháng 5 năm 1986) là một cầu thủ bóng đá người Bulgaria thi đấu ở vị trí hậu vệ cho câu lạc bộ Lokomotiv Sofia.
Hậu vệ (bóng đá)
Trong môn bóng đá, hậu vệ là một cầu thủ ngoại biên mà vai trò chính là ngăn cản đội đối phương ghi bàn.",,
5ab488bc5542990594ba9c55,A_likely_ok,Insomniac Events là một phần của sự hợp tác với một câu lạc bộ được thành lập bởi nhà đầu tư có nguồn gốc gì?,Insomniac Events is part of a partnership with a club founded by an investor of what heritage?,Iranian-American,Iran-Mỹ,"Sam Nazarian (sinh 1975) là một doanh nhân, nhà đầu tư và nhà từ thiện người Mỹ gốc Iran.","Sự kiện không ngủ
Insomniac Events, được thành lập bởi Pasquale Rotella, là một nhà tổ chức tour du lịch từ Mỹ tập trung chủ yếu vào các sự kiện âm nhạc điện tử. Nó tổ chức nhiều lễ hội âm nhạc khiêu vũ lớn, bao gồm lễ hội Electric Daisy Carnival cùng với những sự kiện khác như Beyond Wonderland, Nocturnal Wonderland và Escape From Wonderland. Trước năm 2011 nó đã đồng tổ chức lễ hội Together as One với đối thủ Go Ventures . Insomniac cũng tổ chức ""EDMBiz"" (một sự kiện trong ngành công nghiệp lần đầu tiên diễn ra vào năm 2012 trùng với EDC Las Vegas theo cách tương tự như Winter Music Conference và Ultra Music Festival). Insomniac tham gia vận hành ba câu lạc bộ đêm ở Los Angeles - Create (trong liên doanh với SBE), Exchange L.A., và câu lạc bộ ngầm Factory 93 nằm tại địa chỉ 1756 Naud Street . Insominiac còn tổ chức các sự kiện hướng tới thể loại drum and bass và dubstep dưới thương hiệu Bassrush , hardstyle dưới thương hiệu Basscon , và các lễ hội trance dưới thương hiệu Dreamstate .
Sam Nazarian
Sam Nazarian (sinh 1975) là một doanh nhân, nhà đầu tư và nhà từ thiện người Mỹ gốc Iran. Ông là Chủ tịch kiêm Tổng Giám đốc Tập đoàn Giải trí SBE.",,
5a7cb8bc554299452d57b9be,A_flexible_span,Sân vận động có sức chứa bao nhiêu chỗ ngồi là sân nhà của đội Lahore Eagles?,What is the capacity of the stadium that is the home ground of the Lahore Eagles?,"27,000",27.000,Sân vận động có sức chứa 27000 khán giả làm cho nó trở thành một trong những sân lớn nhất nước này.,"Lahore Eagles
Lahore Eagles [Urdu: لاہور ایگلز] là một đội bóng cricket tại giải đấu T20 Faysal Bank, đặt trụ sở tại Lahore, Punjab, Pakistan. Đội được thành lập vào năm 2006 và sân nhà của họ là Gaddafi Stadium.
Sân vận động Gaddafi
Sân vận động Gaddafi (tiếng Urdu: ‎ / ALA-LC: ""Qaẕẕāfī Isṭeḍiyam"" ) là một sân cricket ở Lahore, Pakistan. Nó được thiết kế bởi kiến trúc sư và kỹ sư nổi tiếng Nasreddin Murat-Khan, và xây dựng bởi Mian Abdul Khaliq and Company vào năm 1959. Sân vận động đã được cải tạo cho giải Cricket World Cup 1996 khi nó tổ chức trận chung kết. Trụ sở của Hội đồng Cricket Pakistan đặt tại sân vận động Gaddafi làm cho nó trở thành quê hương của đội tuyển quốc gia cricket Pakistan . Sân vận động có sức chứa 27000 khán giả làm cho nó trở thành một trong những sân lớn nhất nước này.",,
5a8b041955429971feec4604,A_likely_ok,Nghề nghiệp chung giữa David Breashears và Richard Bass là gì?,Which profession do David Breashears and Richard Bass have in common?,mountaineer,người leo núi,Ông được biết đến nhiều nhất với việc dẫn dắt Richard Bass lên tới đỉnh Everest để hoàn tất việc chinh phục Bảy đỉnh cao nhất (đỉnh cao nhất trên mỗi trong bảy châu lục).,"David Breashears
David Finlay Breashears (sinh ngày 20 tháng 12 năm 1955) là một nhà leo núi, nhà làm phim, tác giả và diễn giả truyền cảm hứng người Mỹ. Năm 1985, ông lên đến đỉnh Everest lần thứ hai trở thành người Mỹ đầu tiên lên đến đỉnh Everest nhiều hơn một lần. Ông được biết đến nhiều nhất với việc dẫn dắt Richard Bass lên tới đỉnh Everest để hoàn tất việc chinh phục Bảy đỉnh cao nhất (đỉnh cao nhất trên mỗi trong bảy châu lục).
Richard Bass
Richard Daniel ""Dick"" Bass (21 tháng 12 năm 1929 - 26 tháng 7 năm 2015) là một doanh nhân, chủ trang trại và nhà leo núi người Mỹ. Ông là chủ sở hữu khu nghỉ dưỡng trượt tuyết Snowbird ở Utah và là người đầu tiên chinh phục được những đỉnh núi cao nhất trên tất cả các lục địa.",,
5abac89d55429901930fa8b5,A_likely_ok,"Có bao nhiêu giải Quả Cầu Vàng mà nữ diễn viên người Anh đã nghỉ hưu, sự nghiệp của bà trải qua sáu thập niên và xuất hiện trong vở kịch hai hồi Moby Dick—Rehearsed của Orson Welles?",How many Golden Globe Awards did this English retired actress whose career has spanned over six decades and who appeared in the two-act drama Moby Dick—Rehearsed by Orson Welles?,two Golden Globe Awards,hai giải Golden Globe,Bà cũng là một trong bốn nữ diễn viên duy nhất từng đoạt hai lần cùng lúc tại lễ trao giải Quả cầu vàng.,"Moby Dick—Tập dượt
Moby Dick—Rehearsed là vở kịch hai hồi của Orson Welles. Kịch bản được trình diễn từ ngày 16 tháng Sáu đến ngày 9 tháng Bảy, 1955 tại Nhà hát Duke of York ở London trong một buổi biểu diễn do chính Welles đạo diễn. Thành phần dàn tuồng gốc gồm có Welles, Christopher Lee, Kenneth Williams, Joan Plowright, Patrick McGoohan, Gordon Jackson, Peter Sallis và Wensley Pithey. Kịch bản được Samuel French xuất bản vào năm 1965.
Joan Plowright
Joan Ann Plowright, Nữ bá tước Olivier, DBE (sinh ngày 28 tháng 10 năm 1929), thường được biết đến với tên gọi Joan Plowright, là một nữ diễn viên người Anh đã nghỉ hưu mà sự nghiệp của bà trải dài trên sáu thập niên. Bà đã giành hai giải Quả cầu vàng và một giải Tony và được đề cử cho Giải Oscar, Giải Emmy và hai giải BAFTA. Bà cũng là một trong bốn nữ diễn viên duy nhất từng đoạt hai lần cùng lúc tại lễ trao giải Quả cầu vàng.",,
5ade51515542992fa25da745,A_likely_ok,Tại sao Rudolf Hess ngừng phục vụ Hitler vào năm 1941?,Why did Rudolf Hess stop serving Hitler in 1941?,report Hess's illegal May 1941 flight to Scotland,báo cáo chuyến bay bất hợp pháp của Hess vào tháng 5 năm 1941 đến Scotland,Ông ta là người phải báo cáo chuyến bay bất hợp pháp tháng 5/1941 của Hess đến Scotland cho Hitler và những hồi tưởng cùng ghi chú của ông đã trở thành chủ đề tranh luận giữa các sử gia.,"Karlheinz Pintsch
Karlheinz Pintsch (1909 -?) là một người trợ lý cao cấp lâu năm của Rudolf Hess, Phó Lãnh đạo Đức Quốc xã dưới thời Adolf Hitler. Ông ta là người phải báo cáo chuyến bay bất hợp pháp tháng 5/1941 của Hess đến Scotland cho Hitler và những hồi tưởng cùng ghi chú của ông đã trở thành chủ đề tranh luận giữa các sử gia.
Rudolf Hess
Rudolf Walter Richard Hess (phiên âm tiếng Đức: Hɛs; 26 tháng 4 năm 1894 – 17 tháng 8 năm 1987) là một chính trị gia nổi bật của Đức Quốc xã. Ông được bổ nhiệm làm Phó lãnh tụ vào năm 1933, phục vụ cho đến năm 1941, khi ông bay đơn độc đến Scotland trong nỗ lực đàm phán hòa bình với Vương quốc Anh trong Thế chiến II. Ông bị bắt và sau đó bị kết án tội phạm ác với hòa bình, chịu án tù chung thân cho đến khi tự sát.",,
5abec2ca5542997719eab5b9,A_likely_ok,"Kênh đào nào được vận hành trước, kênh đào Carondelet hay kênh đào Miami và Erie?","Which canal began operating first, the Carondelet Canal or the Miami and Erie Canal?",Carondelet Canal,Hãng kênh Carondelet,Kênh đào Carondelet,"Kênh đào Carondelet
Kênh đào Carondelet, còn được biết đến với tên gọi Kênh Đào Old Basin, là một kênh đào ở New Orleans, Louisiana, Hoa Kỳ. Nó hoạt động từ năm 1794 cho đến những năm 1920 - gần 135 năm. Kênh này không còn khả năng thông thuyền vào năm 1927 và bị lấp lại hoàn toàn vào năm 1938.
Kênh đào Miami và Erie
Kênh đào Miami và Erie là một kênh đào ở Ohio chạy khoảng 274 dặm; nó được xây dựng từ Cincinnati đến Toledo để tạo ra một tuyến đường thủy từ sông Ohio đến hồ Erie. Xây dựng trên kênh bắt đầu vào năm 1825 và hoàn thành vào năm 1845 với chi phí cho chính phủ bang là $ 8,062,680.07. Ở đỉnh điểm của nó, nó bao gồm 19 cầu cống, ba cửa giữ khóa, 103 cửa khóa kênh đào, nhiều kênh phụ cấp nước và một vài khu vực chứa nước nhân tạo . Kênh đào leo lên cao hơn Hồ Erie là 395 feet (ft) và cao hơn Sông Ohio là  513 ft để đạt tới đỉnh địa hình gọi là Loramie Summit , kéo dài  19 dặm giữa New Bremen , Ohio đến khoá số I-S tại Lockington phía bắc Piqua , Ohio . Những chiếc thuyền dài đến  80 feet được kéo dọc theo con kênh bởi những con lừa ngựa hoặc bò đi bộ trên đường mòn kéo chuẩn bị dọc theo bờ sông với tốc độ bốn - năm dặm mỗi giờ",,
